noteID,note_es,translated_by
63,"En esta tabla de banderines se entiende por fenómeno cualquier tipo de fenómeno, incluidos la precipitación y el oscurecimiento.",Original
64,PRF is pulse repetition frequency.,Original
65,El tipo de proyección 4 indica una retícula cartesiana situada directamente en el cono de exploración definido por el barrido azimutal del radar.,Original
67,"La calibración radiométrica es inválida si no se realiza o si se realiza con datos de calibración inválidos (por ejemplo, cuando el tamaño de la ventana de espacio lejano es igual a 0).",Original
68,"La calidad del registro de datos científicos es inválida si falla el reajuste del bit (véase el bit 12) o si se detectan errores en el cálculo de franjas (véase el bit 11), datos inválidos en el registro de datos en bruto (véase el bit 10), calibraciones radiométricas inválidas (véase el bit 5) o calibraciones espectrales inválidas (véase el bit 7).",Original
69,Se fija en 0 si es de día (ángulo cenital solar < 90°). Se fija en 1 si es de noche (ángulo cenital solar ≥90°).,Original
70,"Se fija en 0 si no se detecta ningún error en el cálculo de franjas (véase el bit 11) o si se detecta un error de cálculo pero no se corrige.",Original
71,Se fija en 1 si al menos un espectro de la media móvil para el espacio lejano se considera no válido debido a una interferencia lunar.,Original
72,"Se fija en 1 si el cálculo de la longitud de onda del láser es inválido debido a un error sistemático del diodo láser y/o a que las mediciones de temperatura del diodo láser no se ajustan a los intervalos permitidos que se han predeterminado. Estos intervalos son ajustables. En este caso, se utilizará 1 bit por barrido para el cálculo lamda.",Original
73,"La calibración espectral es inválida si se detecta y corrige el error en el cálculo de franjas (véase el bit 8), si la calibración de neón es dudosa y el cálculo lamda no puede actualizarse (véanse los """"Banderines de calidad del nivel de exploración"""" (0 33 075) - bit 3).",Original
74,The code figure 21 may be used within corrected messages with the substituted/corrected values identified.,Original
75,"The definitions in code numbers 0 to 2 and 4 apply to representative bare ground and numbers 3, 5 to 9 and 10 to 19 to an open representative area.",Original
76,"The exact bounding height shall be assigned for the lower code figure; e.g., a height of 4 m is coded as 5.",Original
77,"The expression 'at the station' refers to a land station or a ship.",Original
78,The first three digits represent the ISO country code.,Original
79,The last column in the table contains the associated registry number from the Chemical Abstracts Service (CAS) of the American Chemical Society.,Original
80,The middle portion of this code table (code figures 100-199) includes terms on several levels to cover simple and increasingly complex automatic stations.,Original
81,"The nominal range for the surface soil moisture is 0% - 100%. In extreme cases, the extrapolated backscatter at 40 degrees incidence angle may exceed the dry or the wet backscatter reference. In these cases, the value provided by the measurement process of surface soil moisture is, respectively,less than 0% or more than 100%.",Original
82,"La descripción del tiempo con las cifras de clave 10 a 19, va haciéndose progresivamente más para dar cabida a los diferentes niveles de capacidad de discriminación del tiempo de las diversas estaciones automáticas. Las estaciones que poseen únicamente capacidad básica de observación pueden utilizar las cifras de clave de número inferior y descripciones genéricas básicas (indicadas en letras mayúsculas). Las estaciones que poseen una capacidad de discriminación progresivamente más grande utilizarán las descripciones más detalladas (cifras de clave más altas).",Original
83,"Estas temperaturas se utilizan para calcular la contribución “ambiental"""" a las radiancias del blanco de calibración interna. Cuando este bit se fija en 1, las temperaturas inválidas se reemplazan por los valores de temperatura validados del blanco de calibración interna.",Original
84,"These values refer to well-developed wind waves of the open sea. While priority shall be given to the descriptive terms, these height values may be used for guidance by the observer when reporting the total state of agitation of the sea resulting from various factors such as wind, swell, currents, angle between swell and wind, etc.",Original
85,"This descriptor will be associated with visibility data or height of clouds data to specify if the value is bounded. If the reported data is the true value, the code figure is 0. However, the measurement can hit the limit of the instrument measurement capability. If the reported value is higher than the true value, the codefigure is 1; if the reported value is lower than the true value, the code figure is 2.",Original
86,"Este banderín indica que no se ha detectado un número significativo de franjas, desplazando la diferencia de trayecto cero (ZPD) del interferograma fuera de una ventana controlada por el instrumento, y que el interferograma queda excluido del procesamiento del registro de datos científicos.",Original
87,Este banderín indica que el instrumento presenta errores de funcionamiento y que el/los interferograma(s) asociado(s) queda (n) excluido(s) del procesamiento del registro de datos científicos.,Original
88,Time significance must be qualified by appropriate time periods being specified.,Original
89,'Funnel cloud(s)' refer to tornado clouds or waterspouts.,Original
90,Type of instrumentation and original units for wind measurement (measured in m s–1 unless otherwise indicated).,Original
91,Valor relegado. Utilícese en su lugar la cifra de clave 6.,Original
92,"Cuando la cifra de clave 4 se usa para especificar un sistema de coordenadas de referencia adaptado, el dato elipsoide será un elipsoide de revolución oblato, en el que el eje mayor es uniplanar con el plano ecuatorial y el eje menor atraviesa el meridiano principal hacia el polo principal. El Norte corresponde a la dirección desde el ecuador hacia el polo principal. El Este corresponde a la dirección en sentido antihorario desde el meridiano principal visto desde el Polo Norte. En este caso se deben especificar los semiejes mayor y menor (por ejemplo, mediante los descriptores 0 01 152 y 0 01 153).",Original
93,"Where observed minus forecast values are represented, the period of the forecast shall be indicated by an appropriate descriptor from Class 04.",Original
94,"Where the original reporting method is as indicated by code figure 1, the following conversion is recommended to obtain a suitable data value corresponding to descriptor 0 01 012:Reported value Data value0 01 452 903 1354 1805 2256 2707 3158 3609 511",Original
95,"Where the original reporting method is as indicated by code figure 1, the following conversion is recommended to obtain a suitable data value corresponding to descriptor 0 01 013:Reported value Data value 0 01 12 43 74 95 126 147 178 199 21/ 1023",Original
96,"Coincidiendo con la observación de trombas marinas o nubes con forma de embudo, en decir, a más de 3 km de la estación.",Original
97,"The letters a, b, c, d and e generically represent the weight associated with the respective temperature T. The sub-index of T: 1, 2, 3, x and n represent the values measured at different times or maximum (x) or minimum (n) values.",Original
98,"Code figures 1 - 24 are siting classifications and measurement quality classifications according to the Guide to Instruments and Methods of Observation (WMO-No. 8), Volume I, Chapter 1, Annex 1.D and Annex 1.G.",Original
99,"Code figures 26 - 30 are siting classifications according to the Guide to Instruments and Methods of Observation (WMO-No. 8), Volume I, Chapter 1, Annex 1.D.",Original
100,"Code figures 31 - 34 are measurement quality classifications according to the Guide to Instruments and Methods of Observation (WMO-No. 8), Volume I, Chapter 1, Annex 1.G.",Original
101,"Annex 1.G is a new annex that will be part of an updated version of WMO-No. 8 to be published in mid-2022.",Original
102,"For determining combined standard uncertainty see the Evaluation of Measurement Data - Guide to the Expression of Uncertainty in Measurement [JCGM 100:2008] from BIPM.",Original
