Id,ClassNo,ClassName_en,FXY,ElementName_en,BUFR_Unit_en,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit_en,CREX_Scale,CREX_DataWidth_Char,Note_en,noteIDs,Status
bufr4/0/10/051,10,BUFR/CREX Non-coordinate location (vertical),010051,Pressure reduced to mean sea level Pa,,-1,0,14,Pa,-1,5,,,Operational
bufr4/0/10/052,10,BUFR/CREX Non-coordinate location (vertical),010052,Altimeter setting (QNH),Pa I.2 – BUFR/CREX Table B/10 — 1,-1,0,14,Pa,-1,5,,,Operational
bufr4/0/10/053,10,BUFR/CREX Non-coordinate location (vertical),010053,Global navigation satellite system altitude,m,0,-1000,17,m,0,5,,,Operational
bufr4/0/10/060,10,BUFR/CREX Non-coordinate location (vertical),010060,Pressure change,Pa,-1,-1024,11,Pa,-1,4,,,Operational
bufr4/0/10/061,10,BUFR/CREX Non-coordinate location (vertical),010061,3-hour pressure change,Pa,-1,-500,10,Pa,-1,4,,,Operational
bufr4/0/10/062,10,BUFR/CREX Non-coordinate location (vertical),010062,24-hour pressure change,Pa,-1,-1000,11,Pa,-1,4,,,Operational
bufr4/0/10/063,10,BUFR/CREX Non-coordinate location (vertical),010063,Characteristic of pressure tendency Code table,,0,0,4,Code table,0,2,,,Operational
bufr4/0/10/064,10,BUFR/CREX Non-coordinate location (vertical),010064,SIGMET cruising level,Code table,0,0,3,Code table,0,1,,,Operational
bufr4/0/10/070,10,BUFR/CREX Non-coordinate location (vertical),010070,Indicated aircraft altitude,m,0,-400,16,m,0,5,,,Operational
bufr4/0/10/071,10,BUFR/CREX Non-coordinate location (vertical),010071,Vertical resolution,m,0,0,14,m,0,5,,,Operational
bufr4/0/10/079,10,BUFR/CREX Non-coordinate location (vertical),010079,Off-nadir angle of the satellite from platform data,°,4,0,16,°,4,5,,,Operational
bufr4/0/10/080,10,BUFR/CREX Non-coordinate location (vertical),010080,Viewing zenith angle,°,2,-9000,15,°,2,5,,,Operational
bufr4/0/10/081,10,BUFR/CREX Non-coordinate location (vertical),010081,Altitude of COG above reference ellipsoid,m,3,0,31,m,3,10,,,Operational
bufr4/0/10/082,10,BUFR/CREX Non-coordinate location (vertical),010082,Instantaneous altitude rate,m s–1,3,-65536,17,m s–1,3,6,,,Operational
bufr4/0/10/083,10,BUFR/CREX Non-coordinate location (vertical),010083,Squared off-nadir angle of the satellite from platform data,degree 2,2,0,16,degree 2,2,5,,,Operational
bufr4/0/10/084,10,BUFR/CREX Non-coordinate location (vertical),010084,Squared off-nadir angle of the satellite from waveform data,degree 2,2,0,16,degree 2,2,5,,,Operational
bufr4/0/10/085,10,BUFR/CREX Non-coordinate location (vertical),010085,Mean sea-surface height,m,3,-131072,18,m,3,6,,,Operational
bufr4/0/10/086,10,BUFR/CREX Non-coordinate location (vertical),010086,Geoid's height,m,3,-131072,18,m,3,6,,,Operational
bufr4/0/10/087,10,BUFR/CREX Non-coordinate location (vertical),010087,Ocean depth/land elevation,m,1,-131072,18,m,1,6,,,Operational
bufr4/0/10/088,10,BUFR/CREX Non-coordinate location (vertical),010088,Total geocentric ocean tide height (solution 1),m,3,-32768,16,m,3,5,,,Operational
bufr4/0/10/089,10,BUFR/CREX Non-coordinate location (vertical),010089,Total geocentric ocean tide height (solution 2),m,3,-32768,16,m,3,5,,,Operational
bufr4/0/10/090,10,BUFR/CREX Non-coordinate location (vertical),010090,Long period tide height,m,3,-32768,16,m,3,5,,,Operational
bufr4/0/10/091,10,BUFR/CREX Non-coordinate location (vertical),010091,Tidal loading height,m,3,-32768,16,m,3,5,,,Operational
bufr4/0/10/092,10,BUFR/CREX Non-coordinate location (vertical),010092,Solid Earth tide height,m I.2 – BUFR/CREX Table B/10 — 2,3,-32768,16,m,3,5,,,Operational
bufr4/0/10/093,10,BUFR/CREX Non-coordinate location (vertical),010093,Geocentric pole tide height,m,3,-32768,16,m,3,5,,,Operational
bufr4/0/10/095,10,BUFR/CREX Non-coordinate location (vertical),010095,Height of atmosphere used,m,0,0,16,m,0,5,,,Operational
bufr4/0/10/096,10,BUFR/CREX Non-coordinate location (vertical),010096,Mean dynamic topography,m,3,-131072,18,m,3,6,,,Operational
bufr4/0/10/097,10,BUFR/CREX Non-coordinate location (vertical),010097,Mean sea-surface height from altimeter only,m,3,-131072,18,m,3,6,,,Operational
bufr4/0/10/098,10,BUFR/CREX Non-coordinate location (vertical),010098,Loading tide height geocentric ocean tide solution 1,m,4,-2000,12,m,4,4,,,Operational
bufr4/0/10/099,10,BUFR/CREX Non-coordinate location (vertical),010099,Loading tide height geocentric ocean tide solution 2,m,4,-2000,12,m,4,4,,,Operational
bufr4/0/10/100,10,BUFR/CREX Non-coordinate location (vertical),010100,Non-equilibrium long period tide height,m,4,-2000,12,m,4,4,,,Operational
bufr4/0/10/101,10,BUFR/CREX Non-coordinate location (vertical),010101,Squared off-nadir angle of the satellite from waveform data,degree 2,2,-32768,16,degree 2,2,5,,,Operational
bufr4/0/10/102,10,BUFR/CREX Non-coordinate location (vertical),010102,Sea-surface height anomaly,m,3,-32768,16,m,3,5,,,Operational
bufr4/0/10/103,10,BUFR/CREX Non-coordinate location (vertical),010103,Mean dynamic topography accuracy,m I.2 – BUFR/CREX Table B/10 — 3,3,-131072,18,m,3,6,,,Operational
