noteID,note_fr,translated_by
27,"Bits 5-10 represent calibration problem code. All bits set to zero indicated normal calibration. Where any of bits 5, 7, 10 are set, secondary calibration coefficients have been used.",Original
28,"Clear path means the sounding has been generated from clear radiances derived from actual clear spot measurements. Tropospheric and stratospheric HIRS data, as well as MSU and SSU data, have been used.",Original
29,Clear sounding indicates the sounding has been generated from a set of clear radiances using all available sounder radiances.,Original
30,"Cloudy path means the sounding has been generated only from stratospheric HIRS data, MSU data andSSU data. Tropospheric HIRS data have not been used because of cloudy conditions.",Original
31,Cloudy sounding indicates that sufficient clear radiances could not be identified in the sounding area. The sounding is calculated from the cloud top (cloud pressure greater than or equal to 780 hPa) upwards.,Original
32,1) Chiffres du code 1 à 9:  durée et heure de la mesure du courant (méthode vectorielle ou méthode Doppler d’établissement du profil du courant). 2) Chiffres du code 11 à 19:  période de la mesure du courant (méthode de la dérive). 3) H = heure d’observation.,Original
33,1) Chiffres du code 1 à 9:  durée et heure de la mesure du courant (méthode vectorielle ou méthode Doppler d’établissement du profil du courant). 2) Chiffres du code 11 à 19:  période de la mesure du courant (méthode de la dérive). 3) H = heure d’observation.,Original
34,"1) Entre les chiffres du code 100–199, la présente table de code comprend des termes à plusieurs niveaux afin de servir aux stations simples et aux stations automatiques devenant de plus en plus complexes. 2) Les termes génériques se rapportant au temps (par exemple brouillard, bruine) sont destinés à être utilisés dans des stations automatiques pouvant déterminer les types de temps sans pouvoir fournir d'autres informations.  Les termes génériques figurent tous dans la table de code en lettres majuscules. 3) Les chiffres du code pour les catégories de précipitations (chiffres du code 140 à 148) sont disposés par ordre de complexité croissante.  Par exemple, une station très simple qui ne peut déceler que la présence ou l'absence de précipitations utilise le chiffre du code 140 (précipitations).  Au niveau suivant, une station automatique pouvant déceler le volume, mais pas le type, utilise le chiffre du code 141 ou 142.  Une station automatique qui peut déceler le type général (liquide, solide, se congelant) et le volume général utilise les chiffres du code 143 à 148.  Une station automatique qui peut signaler les types réels de précipitations (par exemple bruine ou pluie), mais non leur volume, utilise le nombre entier de la dizaine correspondante (par exemple 150 pour la catégorie bruine; 160 pour la catégorie pluie).",Original
35,Le descripteur 0 25 009 est caduc; le remplacer par le descripteur 0 25 029.,Original
36,"Difference statistics are difference values; they have dimensions the same as the corresponding reported values with respect to units, but assume a range centred on zero (e.g., the difference between reported and analysed values, the difference between reported and forecast values).",Original
37,"DIODE means détermination immédiate d’orbite par DORIS embarqué or immediate onboard orbit determination by DORIS. It is part of the DORIS instrument, which calculates the satellite’s position and velocity.",Original
38,Entries 1 and 2 should not be used.,Original
39,"1) L’EPSG est un jeu de données sur les systèmes de coordonnées et les transformations qu’ils subissent, constitué et tenu à jour à l’origine par l’ European Petroleum Survey Group l’Association internationale des producteurs de pétrole et de gaz qui s’en occupe, par le biais du sous-comité à la géodésie relevant de son Comité de géomatique. 2) Lorsque le chiffre du code 4 est utilisé pour préciser un système de coordonnées de référence, la donnée ellipsoïdale est alors un ellipsoïde de révolution aplati, dont le grand axe s’oriente dans le même plan que le plan équatorial et le petit axe coupe le méridien d’origine près du pôle d’origine. Le Nord correspond à la direction de l’équateur au pôle d’origine. L’Est correspond au sens inverse des aiguilles d’une montre à partir du méridien d’origine vu depuis le pôle Nord. Dans ce cas, il faut préciser le demi-grand axe et le demi-petit axe (en se servant par exemple des descripteurs 0 01 152 et 0 01 153).",Original
40,"For use of code figure 15, see Regulation 12.1.4.",Original
41,"Freezing level is the level at which temperature first decreases to 0 °C. The criteria for the selection of freezing level in upper-air observations are:(a) If the surface temperature is not lower than 0 °C when the radiosonde is released, then the lowest level at which the temperature first decreases to 0 °C will be selected as the freezing level.(b) If the surface temperature is equal to 0 °C, then the surface level will be the freezing level.(c) If during observation there is no level at which the temperature equals 0 °C, then the closest two levels between which the temperature crosses from a positive to a negative value should be used to interpolate the freezing-level temperature equal to 0 °C.(d) The following elements will be calculated for the freezing level: time, elevation, pressure, humidity,dew point temperature, dewpoint depression, and deviation of longitude and latitude.",Original
42,"1) La signification du champ associé correspond, au début, à la qualité des données observées. 2) Le chiffre du code 21 peut être utilisé dans des messages corrigés où les valeurs substituées/corrigées sont déterminées. 3) D’autres applications peuvent être prévues.",Original
43,"1) Entre les chiffres du code 100–199, la présente table de code comprend des termes à plusieurs niveaux afin de servir aux stations simples et aux stations automatiques devenant de plus en plus complexes. 2) Les termes génériques se rapportant au temps (par exemple brouillard, bruine) sont destinés à être utilisés dans des stations automatiques pouvant déterminer les types de temps sans pouvoir fournir d'autres informations.  Les termes génériques figurent tous dans la table de code en lettres majuscules. 3) Les chiffres du code pour les catégories de précipitations (chiffres du code 140 à 148) sont disposés par ordre de complexité croissante.  Par exemple, une station très simple qui ne peut déceler que la présence ou l'absence de précipitations utilise le chiffre du code 140 (précipitations).  Au niveau suivant, une station automatique pouvant déceler le volume, mais pas le type, utilise le chiffre du code 141 ou 142.  Une station automatique qui peut déceler le type général (liquide, solide, se congelant) et le volume général utilise les chiffres du code 143 à 148.  Une station automatique qui peut signaler les types réels de précipitations (par exemple bruine ou pluie), mais non leur volume, utilise le nombre entier de la dizaine correspondante (par exemple 150 pour la catégorie bruine; 160 pour la catégorie pluie).",Original
44,Guide to Instruments and Methods of Observation,Original
45,1) Chiffres du code 1 à 9:  durée et heure de la mesure du courant (méthode vectorielle ou méthode Doppler d’établissement du profil du courant). 2) Chiffres du code 11 à 19:  période de la mesure du courant (méthode de la dérive). 3) H = heure d’observation.,Original
46,"'Hail' refers to hail, small hail or snow pellets.",Original
47,HIRS* is equivalent to: HIRS channels 1 (669 cm-1) 2 (679 cm-1) 3 (690 cm-1) 4 (2358 cm-1),Original
48,"If 0 08 082 = 1, the standard level is indicated by the Class 07 descriptor, which immediately follows. It is possible to indicate the real height of the sensor by preceding the descriptor by the relevant Class 07 descriptor.",Original
49,"Si le bit est mis à 1, l’indication est valable.",Original
50,"1) Les définitions données pour les chiffres du code 0 à 2 et 4 s’appliquent à une superficie représentative de sol nu, et les chiffres 3, 5 à 9 et 10 à 19 à une zone dégagée représentative. 2) En toutes circonstances, on choisit le chiffre du code le plus élevé qui puisse s’appliquer. 3) Dans la table de code ci-dessus, toute référence à de la glace comprend aussi les précipitations solides autres que la neige.",Original
51,"In conjunction with the observation of waterspouts or funnel clouds, i.e., more than 3 km from the station.",Original
52,"1) Dans les messages d'observation en provenance de stations météorologiques automatiques, on utilise le chiffre du code 2 si la tendance est à la hausse, 7 si la tendance est à la baisse, et 4 si la pression atmosphérique est la même que trois heures auparavant. 2) Dans les messages provenant de stations tropicales qui communiquent des données concernant les changements de pression sur 24 heures, le chiffre du code 2 indique que la tendance est positive, le chiffre 7 qu'elle est négative, et le chiffre 4 que la pression est la même que 24 heures auparavant.",Original
53,"1) Dans les messages d'observation en provenance de stations météorologiques automatiques, on utilise le chiffre du code 2 si la tendance est à la hausse, 7 si la tendance est à la baisse, et 4 si la pression atmosphérique est la même que trois heures auparavant. 2) Dans les messages provenant de stations tropicales qui communiquent des données concernant les changements de pression sur 24 heures, le chiffre du code 2 indique que la tendance est positive, le chiffre 7 qu'elle est négative, et le chiffre 4 que la pression est la même que 24 heures auparavant.",Original
54,"1) Les définitions données pour les chiffres du code 0 à 2 et 4 s’appliquent à une superficie représentative de sol nu, et les chiffres 3, 5 à 9 et 10 à 19 à une zone dégagée représentative. 2) En toutes circonstances, on choisit le chiffre du code le plus élevé qui puisse s’appliquer. 3) Dans la table de code ci-dessus, toute référence à de la glace comprend aussi les précipitations solides autres que la neige.",Original
55,"In the event of obscuration of clouds due to heavy rain, the observer should use code 5 or 8. Code 5 should be used if the rain is localized or is brief in duration; Code 8 should be used if the rain is widespread or lasts for longer periods of time.",Original
56,"Inland water includes rivers, lakes, wetlands and swamps.",Original
57,Le mélange de précipitation est indiqué en mettant à 1 les bits de tous les types de précipitation observés.,Original
58,MMCC is Mission Management Control Centre.,Original
59,D’autres appellations locales utilisées pour des orages de diverses intensités sont ajoutées selon les besoins.,Original
60,"Aucun des chiffres du code n’exclut la possibilité, laissée à la discrétion du centre de production, d’ajouter des niveaux obtenus par interpolation.",Original
61,"'Sun' can also be sky (if sun is low), or moon or stars at night.",Original
62,"Partly cloudy path means the sounding has been generated from clear radiances which have been calculated from partly cloudy spots. Tropospheric and stratospheric HIRS data, as well as MSU and SSU data, have been used.",Original
63,"Phenomenon in this flag table means any phenomenon, including precipitation and obscuration.",Original
64,PRF is pulse repetition frequency.,Original
65,Projection type 4 indicates a Cartesian grid placed directly on the scanning cone defined by the azimuthal sweep of the radar.,Original
67,"Radiometric calibration is invalid if radiometric calibration is not performed, or if it is performed with invalid calibration data (e.g., deep space window size = 0).",Original
68,"SDR quality is invalid if bit trim failed (see bit 12), or fringe count error detected (see bit 11), or invalid raw data record (RDR) data (see bit 10), or invalid radiometric calibration (see bit 5), or invalid spectral calibration (see bit 7).",Original
69,Set to 0 if day (solar zenith angle < 90°). Set to 1 if night (solar zenith angle ≥ 90°).,Original
70,"Set to 0 if no fringe count error was detected (see bit 11), or a fringe count error was detected but it was not corrected.",Original
71,Set to 1 if at least one spectrum in the deep space moving average was invalidated due to a lunar intrusion.,Original
72,Set to 1 if laser wavelength calculation is invalid due to laser diode bias current and/or laser diode temperature measurements being outside the predetermined allowable ranges. These ranges are tunable.In this case Lambda monitored calculation shall have 1 bit per scan.,Original
73,"Spectral calibration is invalid if fringe count error detected and corrected (see bit 8), or if neon calibration is suspect and Lambda monitored calculation cannot be updated (see 'Scan-level quality flags' (0 33 075) -bit 3).",Original
74,The code figure 21 may be used within corrected messages with the substituted/corrected values identified.,Original
75,"1) Les définitions données pour les chiffres du code 0 à 2 et 4 s’appliquent à une superficie représentative de sol nu, et les chiffres 3, 5 à 9 et 10 à 19 à une zone dégagée représentative. 2) En toutes circonstances, on choisit le chiffre du code le plus élevé qui puisse s’appliquer. 3) Dans la table de code ci-dessus, toute référence à de la glace comprend aussi les précipitations solides autres que la neige.",Original
76,"1) Ces valeurs se réfèrent à des vagues de vent bien formées en haute mer. dée aux termes descriptifs, ces valeurs relatives à la hauteur peuvent être utilisées à titre d’indication par l’observateur lorsqu’il chiffre l’état total d’agitation de la mer résultant de divers facteurs tels que le vent, la houle, les courants, l’angle entre la houle et le vent, etc. 2) Pour chiffrer une hauteur correspondant à la limite entre deux chiffres du code, prendre le chiffre du code le moins élevé; par exemple, une hauteur de 4 m est signalée à l’aide du chiffre du code 5.",Original
77,The expression 'at the station' refers to a land station or a ship.,Original
78,The first three digits represent the ISO country code.,Original
79,La dernière colonne de la table indique le numéro d’enregistrement correspondant émis par le Chemical Abstracts Service (CAS) de l’American Chemical Society. Chiffre du code Dénomination Formule Numéro CAS (s’il existe) 0 Ozone O3 10028-15-6 (à suivre),Original
80,"1) Entre les chiffres du code 100–199, la présente table de code comprend des termes à plusieurs niveaux afin de servir aux stations simples et aux stations automatiques devenant de plus en plus complexes. 2) Les termes génériques se rapportant au temps (par exemple brouillard, bruine) sont destinés à être utilisés dans des stations automatiques pouvant déterminer les types de temps sans pouvoir fournir d'autres informations.  Les termes génériques figurent tous dans la table de code en lettres majuscules. 3) Les chiffres du code pour les catégories de précipitations (chiffres du code 140 à 148) sont disposés par ordre de complexité croissante.  Par exemple, une station très simple qui ne peut déceler que la présence ou l'absence de précipitations utilise le chiffre du code 140 (précipitations).  Au niveau suivant, une station automatique pouvant déceler le volume, mais pas le type, utilise le chiffre du code 141 ou 142.  Une station automatique qui peut déceler le type général (liquide, solide, se congelant) et le volume général utilise les chiffres du code 143 à 148.  Une station automatique qui peut signaler les types réels de précipitations (par exemple bruine ou pluie), mais non leur volume, utilise le nombre entier de la dizaine correspondante (par exemple 150 pour la catégorie bruine; 160 pour la catégorie pluie).",Original
81,"L’échelle des valeurs nominales de l’humidité du sol en surface est comprise entre 0 et 100 %. Dans des cas extrêmes, il est possible néanmoins que la valeur extrapolée à partir de la rétrodiffusion suivant un angle d’incidence de 40 degrés soit inférieure à la valeur minimale de référence de 0 % (conditions sèches) ou supérieure à la valeur maximale de référence de 100 % (conditions humides).",Original
82,"The weather descriptions in code figures 10 to 19 are progressively complex, to accommodate the different levels of weather discrimination capability of various automatic stations. Stations having only basic sensing capability may use the lower code figures and basic generic descriptions (shown in capital letters). Stations with progressively higher discrimination capability shall use the more detailed descriptions (higher codes).",Original
83,"These temperatures are used to compute the 'environmental' contribution to the internal calibration target (ICT) radiances. When this bit is set to 1, the invalid temperatures shall be replaced with the validated temperature values of the ICT.",Original
84,"1) Ces valeurs se réfèrent à des vagues de vent bien formées en haute mer. dée aux termes descriptifs, ces valeurs relatives à la hauteur peuvent être utilisées à titre d’indication par l’observateur lorsqu’il chiffre l’état total d’agitation de la mer résultant de divers facteurs tels que le vent, la houle, les courants, l’angle entre la houle et le vent, etc. 2) Pour chiffrer une hauteur correspondant à la limite entre deux chiffres du code, prendre le chiffre du code le moins élevé; par exemple, une hauteur de 4 m est signalée à l’aide du chiffre du code 5.",Original
85,"Ce descripteur sera associé à des données relatives à la visibilité ou à la hauteur des nuages pour préciser si la valeur est bornée. Si la donnée transmise est la valeur vraie, le chiffre du code est 0. Toutefois, la mesure peut atteindre la limite de capacité de mesure de l’instrument. Si la valeur transmise est supérieure à la valeur vraie, le chiffre du code est 1; si la valeur transmise est inférieure à la valeur vraie, le chiffre du code est 2.",Original
86,"This flag indicates that a significant number of fringes have been missed, shifting the interferogram ZPD outside of a window monitored by the instrument, and the interferogram is excluded from SDR processing.",Original
87,This flag indicates the instrument exhibited operational errors and the associated interferogram(s) is/are excluded from SDR processing.,Original
88,1) L’expression «moyenne sur une certaine période» indique qu’il est établi en permanence une moyenne des valeurs sur une période donnée. 2) L’expression «moyenne d’ensemble» indique que l’on prend la moyenne d’un certain nombre de valeurs distinctes correspondant à une série de situations dans le temps. 3) Il faut préciser les périodes auxquelles correspondent les caractéristiques temporelles.,Original
89,'Funnel cloud(s)' refer to tornado clouds or waterspouts.,Original
90,Type of instrumentation and original units for wind measurement (measured in m s–1 unless otherwise indicated).,Original
91,Code figure 1 is deprecated. Code figure 6 should be used instead.,Original
92,"When Code figure 4 is used to specify a custom coordinate reference system, the ellipsoidal datum shall be an oblate ellipsoid of revolution, where the major axis is uniplanar with the equatorial plane and the minor axis traverses the prime meridian towards the prime pole. North corresponds to the direction from the Equator to the prime pole. East corresponds to the counterclockwise direction from the prime meridian as viewed from above the North Pole. In this case, the semi-major and semi-minor axes must be specified (e.g. by descriptors 0 01 152 and 0 01 153).",Original
93,"Where observed minus forecast values are represented, the period of the forecast shall be indicated by an appropriate descriptor from Class 04.",Original
94,"Si la méthode de transmission d’origine est celle indiquée par le chiffre 1 du code, il est conseillé de faire appel à la table de conversion suivante pour obtenir une valeur correcte des données correspondant au descripteur 0 01 012: Valeur indiquée Valeur des données 0 0 1 45 2 90 3 135 4 180 5 225 6 270 7 315 8 360 9 511",Original
95,"Si la méthode de transmission d’origine est celle indiquée par le chiffre 1 du code, il est conseillé de faire appel à la table de conversion suivante pour obtenir une valeur correcte des données correspondant au descripteur 0 01 013: Valeur indiquée Valeur des données 0 0 1 1 2 4 3 7 4 9 5 12 6 14 7 17 8 19 9 21 / 1023",Original
96,"In conjunction with the observation of waterspouts or funnel clouds, i.e., more than 3 km from the station.",Original
97,"The letters a, b, c, d and e generically represent the weight associated with the respective temperature T. The sub-index of T: 1, 2, 3, x and n represent the values measured at different times or maximum (x) or minimum (n) values.",Original
98,"Code figures 1 - 24 are siting classifications and measurement quality classifications according to the Guide to Instruments and Methods of Observation (WMO-No. 8), Volume I, Chapter 1, Annex 1.D and Annex 1.G.",Original
99,"Code figures 26 - 30 are siting classifications according to the Guide to Instruments and Methods of Observation (WMO-No. 8), Volume I, Chapter 1, Annex 1.D.",Original
100,"Code figures 31 - 34 are measurement quality classifications according to the Guide to Instruments and Methods of Observation (WMO-No. 8), Volume I, Chapter 1, Annex 1.G.",Original
101,Annex 1.G is a new annex that will be part of an updated version of WMO-No. 8 to be published in mid-2022.,Original
102,For determining combined standard uncertainty see the Evaluation of Measurement Data - Guide to the Expression of Uncertainty in Measurement [JCGM 100:2008] from BIPM.,Original
